,neuron_type,n,loss,val_loss
163,gelu,3,0.0037499424070119858,0.0042304545640945435
164,silu,3,0.0032850864809006453,0.0034796104300767183
165,tanh,3,0.0031844936311244965,0.0032608057372272015
166,gelu,3,0.008160977624356747,0.008111683651804924
167,silu,3,0.003116894280537963,0.0033324009273201227
168,tanh,3,0.003239930374547839,0.003318558679893613
169,gelu,3,0.04038015753030777,0.03834398463368416
170,silu,3,0.003918803762644529,0.003938295878469944
171,tanh,3,0.0022267193999141455,0.0022248071618378162
172,gelu,3,0.0035325707867741585,0.0038163692224770784
173,silu,3,0.002912467112764716,0.002785611664876342
174,tanh,3,0.0031817203853279352,0.0033359997905790806
175,gelu,3,0.0031859686132520437,0.003702237969264388
176,silu,3,0.00261783879250288,0.002538599306717515
177,tanh,3,0.0025179986841976643,0.0025959082413464785
178,gelu,3,0.0038959896191954613,0.00406311172991991
179,silu,3,0.011357791721820831,0.010831703431904316
180,tanh,3,0.002746801357716322,0.002993606263771653
181,gelu,3,0.003951509948819876,0.003967445343732834
182,silu,3,0.003959197085350752,0.004149264190346003
183,tanh,3,0.010236075147986412,0.00976399052888155
184,gelu,3,0.004696961026638746,0.0046392143703997135
185,silu,3,0.003603454912081361,0.003689858131110668
186,tanh,3,0.003742069471627474,0.00406130775809288
187,gelu,3,0.003966559190303087,0.003668766701593995
188,silu,3,0.0036211286205798388,0.003703964175656438
189,tanh,3,0.0031702332198619843,0.003328749444335699
190,gelu,3,0.0038299879524856806,0.0037328905891627073
191,silu,3,0.0034119770862162113,0.003631625324487686
192,tanh,3,0.0032026851549744606,0.0035265665501356125
193,gelu,3,0.0044171977788209915,0.004601443186402321
194,silu,3,0.005041837226599455,0.0050169131718575954
195,tanh,3,0.011329841800034046,0.010392176918685436
196,gelu,3,0.0033696929458528757,0.0034697512164711952
197,silu,3,0.004051541909575462,0.003991836681962013
198,tanh,3,0.03624073043465614,0.03459214046597481
199,gelu,3,0.0035007386468350887,0.003733391873538494
200,silu,3,0.002822309732437134,0.002906050765886903
201,tanh,3,0.002666157204657793,0.002964494749903679
202,gelu,3,0.0030294558964669704,0.0031218701042234898
203,silu,3,0.005031999666243792,0.0052397530525922775
204,tanh,3,0.002847428200766444,0.003004139754921198
205,gelu,3,0.004258213099092245,0.004324151203036308
206,silu,3,0.0036393252667039633,0.0035921146627515554
207,tanh,3,0.0030136145651340485,0.003215042408555746
208,gelu,3,0.004226728808134794,0.004424183163791895
209,silu,3,0.0034011986572295427,0.0036635962314903736
210,tanh,3,0.0028118605259805918,0.0029859328642487526
211,gelu,3,0.003308438928797841,0.0033435779623687267
212,silu,3,0.004753021523356438,0.005123733542859554
213,tanh,3,0.010977465659379959,0.010405518114566803
214,gelu,3,0.003289602231234312,0.003211928065866232
215,silu,3,0.00390979927033186,0.003984392154961824
216,tanh,3,0.032774586230516434,0.03047499619424343
217,gelu,3,0.003263730090111494,0.00341739971190691
218,silu,3,0.0036078826524317265,0.003762591863051057
219,tanh,3,0.002965978579595685,0.003152104327455163
220,gelu,3,0.003933155909180641,0.004048825241625309
221,silu,3,0.0035518785007297993,0.003765852889046073
222,tanh,3,0.0031409170478582382,0.003462687600404024
223,gelu,3,0.0021840494591742754,0.002416509436443448
224,silu,3,0.003986585885286331,0.004482298623770475
225,tanh,3,0.002528187120333314,0.002681226236745715
226,gelu,3,0.003960597328841686,0.0041745128110051155
227,silu,3,0.0032813078723847866,0.0032969163730740547
228,tanh,3,0.002362034050747752,0.002293022582307458
229,gelu,3,0.0034108420368283987,0.00345209869556129
230,silu,3,0.004018051084131002,0.004005274269729853
231,tanh,3,0.0031479380559176207,0.0033990389201790094
232,gelu,3,0.0024916171096265316,0.0025600832886993885
233,silu,3,0.00319214747287333,0.003150033066049218
234,tanh,3,0.0027635691221803427,0.002849498065188527
235,gelu,3,0.003090984420850873,0.0034120630007237196
236,silu,3,0.0037303632125258446,0.003933797590434551
237,tanh,3,0.03765427693724632,0.035495392978191376
238,gelu,3,0.0033998657017946243,0.003514704527333379
239,silu,3,0.0016081045614555478,0.0016420198371633887
240,tanh,4,0.003033906687051058,0.0033342912793159485
241,gelu,4,0.0058096181601285934,0.006048972252756357
242,silu,4,0.003907099366188049,0.004214318003505468
243,tanh,4,0.0028915083967149258,0.003258046228438616
244,gelu,4,0.0031512475106865168,0.0035563393030315638
245,silu,4,0.0031588526908308268,0.003227570094168186
246,tanh,4,0.003050458850339055,0.0031391517259180546
247,gelu,4,0.003595098853111267,0.003754118224605918
248,silu,4,0.004773671738803387,0.005037036724388599
249,tanh,4,0.002745474223047495,0.0028790433425456285
250,gelu,4,0.0034744604490697384,0.0037069465033710003
251,silu,4,0.004730271641165018,0.0048656705766916275
252,tanh,4,0.0030679672490805387,0.003252345370128751
253,gelu,4,0.0028922720812261105,0.0032333401031792164
254,silu,4,0.004474438261240721,0.004471725784242153
255,tanh,4,0.003279274795204401,0.0035955195780843496
256,gelu,4,0.00311193591915071,0.0029541042167693377
257,silu,4,0.003774763783439994,0.003971372731029987
258,tanh,4,0.003365906421095133,0.0035199502017349005
259,gelu,4,0.003717392683029175,0.0037149679847061634
260,silu,4,0.003146980656310916,0.0034110054839402437
261,tanh,4,0.0033726792316883802,0.0039199478924274445
262,gelu,4,0.0047794184647500515,0.0048152729868888855
263,silu,4,0.0035339626483619213,0.0037674724590033293
264,tanh,4,0.002993467263877392,0.00322127528488636
265,gelu,4,0.004719219170510769,0.005379045382142067
266,silu,4,0.00293284235522151,0.003007677383720875
267,tanh,4,0.0033845503348857164,0.0034710851032286882
268,gelu,4,0.00841375533491373,0.008294071070849895
269,silu,4,0.003748288843780756,0.0037778194528073072
270,tanh,4,0.002976061077788472,0.0032572816126048565
271,gelu,4,0.003605823963880539,0.003745080204680562
272,silu,4,0.002477986039593816,0.002471239771693945
273,tanh,4,0.0025213030166924,0.002644747029989958
274,gelu,4,0.003896279027685523,0.004109958652406931
275,silu,4,0.004181794356554747,0.004444997292011976
276,tanh,4,0.01148484367877245,0.011165501549839973
277,gelu,4,0.003380150068551302,0.0036301584914326668
278,silu,4,0.0024667733814567327,0.0025705541484057903
279,tanh,4,0.002956005046144128,0.0032449422869831324
280,gelu,4,0.0032361026387661695,0.0035467585548758507
281,silu,4,0.0035995058715343475,0.0037155153695493937
282,tanh,4,0.003447192721068859,0.0038436828181147575
283,gelu,4,0.003175589255988598,0.003310637315735221
284,silu,4,0.0031753331422805786,0.0032193551305681467
285,tanh,4,0.0031106683891266584,0.0035631724167615175
286,gelu,4,0.0034892912954092026,0.0038112150505185127
287,silu,4,0.004284128081053495,0.004465207457542419
288,tanh,4,0.0031740705017000437,0.0032914234325289726
289,gelu,4,0.0026788502000272274,0.0026727826334536076
290,silu,4,0.002896290272474289,0.002975873416289687
291,tanh,4,0.003044885816052556,0.003303575562313199
292,gelu,4,0.003349382895976305,0.003585405182093382
293,silu,4,0.003836870426312089,0.004049825947731733
294,tanh,4,0.0031533155124634504,0.0032789180986583233
295,gelu,4,0.004843392875045538,0.004793816711753607
296,silu,4,0.0033086934126913548,0.003318061353638768
297,tanh,4,0.002928520319983363,0.003480274463072419
298,gelu,4,0.0031334757804870605,0.002975992625579238
299,silu,4,0.011108946986496449,0.010466912761330605
300,tanh,4,0.0027334413025528193,0.0030410916078835726
301,gelu,4,0.005746973678469658,0.005862982012331486
302,silu,4,0.003572779940441251,0.003880587639287114
303,tanh,4,0.01130744256079197,0.010719947516918182
304,gelu,4,0.0032634660601615906,0.0036997220013290644
305,silu,4,0.004474992863833904,0.00423564063385129
306,tanh,4,0.002466453006491065,0.0025418030563741922
307,gelu,4,0.003902887459844351,0.004021343309432268
308,silu,4,0.002809247700497508,0.0030209245160222054
309,tanh,4,0.002503220457583666,0.0026916274800896645
310,gelu,4,0.00466024037450552,0.004854219499975443
311,silu,4,0.002830381505191326,0.0026550302281975746
312,tanh,4,0.0034049509558826685,0.003628246020525694
313,gelu,4,0.004237054847180843,0.004474732093513012
314,silu,4,0.0037696531508117914,0.003917940892279148
315,tanh,4,0.0037843019235879183,0.003983639646321535
316,gelu,4,0.003252994501963258,0.003374928142875433
317,silu,4,0.003661314956843853,0.0038773631677031517
318,tanh,4,0.003353713545948267,0.0036255992017686367
319,gelu,4,0.004139223601669073,0.004566320683807135
320,silu,4,0.0031039488967508078,0.00335456314496696
321,tanh,4,0.0031245879363268614,0.0033198478631675243
322,gelu,4,0.0034098278265446424,0.0037704084534198046
323,silu,4,0.0038563970010727644,0.004035256803035736
324,tanh,4,0.0031444730702787638,0.0037040729075670242
325,gelu,4,0.0028039738535881042,0.00296672317199409
326,silu,4,0.002741270000115037,0.00269513251259923
327,tanh,4,0.00265189865604043,0.0028536117170006037
328,gelu,4,0.002942871069535613,0.002927308902144432
329,silu,4,0.0038439182098954916,0.003910314291715622
330,tanh,4,0.0031581330113112926,0.0033865412697196007
331,gelu,4,0.0057449666783213615,0.005564611870795488
332,silu,4,0.003967857453972101,0.0040801651775836945
333,tanh,4,0.003127097152173519,0.003318987088277936
334,gelu,4,0.004021460190415382,0.004229664336889982
335,silu,4,0.003585643135011196,0.003885303158313036
336,tanh,4,0.0032318870071321726,0.003742553060874343
337,gelu,4,0.0035394588485360146,0.003822018625214696
338,silu,4,0.003921788185834885,0.0039841607213020325
339,tanh,4,0.0031600957736372948,0.0036306383553892374
