neuron_type,n,loss,val_loss,Depth,NL Terms
tanh,6,0.003800281,0.003618827,2,12
gelu,6,0.00216001,0.002040284,2,12
silu,6,0.001976905,0.001922256,2,12
tanh,6,0.003016812,0.002833146,2,12
gelu,6,0.002790536,0.002500006,2,12
silu,6,0.003229582,0.003309996,2,12
tanh,6,0.002921314,0.002703208,2,12
gelu,6,0.003597093,0.003695487,2,12
silu,6,0.00386101,0.00351517,2,12
tanh,6,0.002999658,0.002854851,2,12
gelu,6,0.012040727,0.011637399,2,12
silu,6,0.00407444,0.003668539,2,12
tanh,6,0.00316655,0.003126296,2,12
gelu,6,0.00170006,0.00178497,2,12
silu,6,0.002508381,0.00255927,2,12
tanh,6,0.002839607,0.002523787,2,12
gelu,6,0.003142212,0.003012381,2,12
silu,6,0.004991392,0.004680943,2,12
tanh,6,0.002280281,0.002060306,2,12
gelu,6,0.002678768,0.002553868,2,12
silu,6,0.004088817,0.003668634,2,12
tanh,7,0.002781027,0.002549977,2,14
gelu,7,0.004711121,0.004399159,2,14
silu,7,0.003310299,0.003267547,2,14
tanh,7,0.003472921,0.00311206,2,14
gelu,7,0.00250551,0.002426824,2,14
silu,7,0.005286692,0.004693566,2,14
tanh,7,0.003769828,0.003457198,2,14
gelu,7,0.003227021,0.002859838,2,14
silu,7,0.002788839,0.002523364,2,14
tanh,7,0.003074986,0.002720678,2,14
gelu,7,0.003361751,0.00331088,2,14
silu,7,0.003839141,0.003477258,2,14
tanh,7,0.003488172,0.003242559,2,14
gelu,7,0.003585934,0.003263244,2,14
silu,7,0.002274284,0.002255388,2,14
tanh,7,0.002290731,0.002027779,2,14
gelu,7,0.002089913,0.002121125,2,14
silu,7,0.002915848,0.002895239,2,14
tanh,7,0.003017154,0.003001099,2,14
gelu,7,0.002433808,0.002292263,2,14
silu,7,0.004198939,0.003535455,2,14
tanh,7,0.003467887,0.003368082,2,14
gelu,7,0.003518661,0.003377711,2,14
silu,7,0.002628092,0.002378586,2,14
tanh,7,0.002740591,0.002700293,2,14
gelu,7,0.005159158,0.004751475,2,14
silu,7,0.003349405,0.003109595,2,14
tanh,7,0.003256155,0.002904545,2,14
gelu,7,0.002187975,0.002205389,2,14
silu,7,0.003529917,0.003369572,2,14
tanh,7,0.002593992,0.002642302,2,14
gelu,7,0.005979966,0.005607679,2,14
silu,7,0.002889483,0.002859713,2,14
tanh,7,0.00287498,0.002860757,2,14
gelu,7,0.003288776,0.002980487,2,14
silu,7,0.002614914,0.002462766,2,14
tanh,7,0.002730701,0.002674081,2,14
gelu,7,0.002969664,0.002989484,2,14
silu,7,0.001882687,0.001822636,2,14
tanh,7,0.003089368,0.002894897,2,14
gelu,7,0.00473181,0.004343188,2,14
silu,7,0.001999624,0.002033845,2,14
